# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -1.175374421855425421e-05 -7.588570003336795541e-07
-1.068703942592433123e+02 -1.253375201821178320e-05 -1.396852334363468840e-06
-1.060063942592437343e+02 -1.328473641723529592e-05 -2.053051722983389453e-06
-1.051423942592441563e+02 -1.400807873942423374e-05 -2.719157523535524635e-06
-1.042783942592445783e+02 -1.470594235264791624e-05 -3.388022265292714030e-06
-1.034143942592450003e+02 -1.538108260678615479e-05 -4.053947738082950368e-06
-1.025503942592454223e+02 -1.603650089896643260e-05 -4.712477857396574709e-06
-1.016863942592458443e+02 -1.667526665199288744e-05 -5.360402006152637277e-06
-1.008223942592462663e+02 -1.730035464839558155e-05 -5.995549496442499754e-06
-9.995839425924668831e+01 -1.791453275940973366e-05 -6.616691758974223907e-06
-9.909439425924711031e+01 -1.852028208122735641e-05 -7.223342197569343800e-06
-9.823039425924753232e+01 -1.911976307185923093e-05 -7.815646375780191415e-06
-9.736639425924795432e+01 -1.971482909218813764e-05 -8.394225933397476963e-06
-9.650239425924837633e+01 -2.030703215149136633e-05 -8.960081910336725885e-06
-9.563839425924879833e+01 -2.089763385288686130e-05 -9.514463996361993475e-06
-9.477439425924922034e+01 -2.148761620852908413e-05 -1.005879465326162405e-05
-9.391039425924964235e+01 -2.207772790745439346e-05 -1.059458722387777017e-05
-9.304639425925006435e+01 -2.266851686479707671e-05 -1.112340264685535309e-05
-9.218239425925048636e+01 -2.326035941853089490e-05 -1.164679002737727139e-05
-9.131839425925090836e+01 -2.385347307183285004e-05 -1.216625618512660313e-05
-9.045439425925133037e+01 -2.444794916142242728e-05 -1.268323415579168727e-05
-8.959039425925175237e+01 -2.504377374790753608e-05 -1.319907470275993880e-05
-8.872639425925217438e+01 -2.564084950627778362e-05 -1.371502873049426131e-05
-8.786239425925259638e+01 -2.623900360710599506e-05 -1.423224388513229102e-05
-8.699839425925301839e+01 -2.683800797548037290e-05 -1.475175947453837340e-05
-8.613439425925344040e+01 -2.743758866279398439e-05 -1.527451197516585833e-05
-8.527039425925386240e+01 -2.803743494084397046e-05 -1.580133247665019126e-05
-8.440639425925428441e+01 -2.863719874412051978e-05 -1.633295168151929102e-05
-8.354239425925470641e+01 -2.923650957803171393e-05 -1.687000655501261190e-05
-8.267839425925512842e+01 -2.983498268571303444e-05 -1.741305309776608687e-05
-8.181439425925555042e+01 -3.043222159088385554e-05 -1.796256757449057192e-05
-8.095039425925597243e+01 -3.102781168142376716e-05 -1.851894766038638629e-05
-8.008639425925639443e+01 -3.162132939644034816e-05 -1.908251919808984671e-05
-7.922239425925681644e+01 -3.221234665922416966e-05 -1.965355004676953496e-05
-7.835839425925723845e+01 -3.280043051452199228e-05 -2.023225422433595126e-05
-7.749439425925766045e+01 -3.338514076068527968e-05 -2.081879286494402415e-05
-7.663039425925808246e+01 -3.396604009663653457e-05 -2.141327855247348946e-05
-7.576639425925850446e+01 -3.454269229482217238e-05 -2.201578176264997825e-05
-7.490239425925892647e+01 -3.511465613048488755e-05 -2.262633319910608955e-05
-7.403839425925934847e+01 -3.568148696761583478e-05 -2.324493029356140971e-05
-7.317439425925977048e+01 -3.624274676929617695e-05 -2.387154219819620420e-05
-7.231039425926019248e+01 -3.679799667250236898e-05 -2.450610398944753817e-05
-7.144639425926061449e+01 -3.734679054362066903e-05 -2.514851331407420653e-05
-7.058239425926103650e+01 -3.788868461298538218e-05 -2.579864846159131807e-05
-6.971839425926145850e+01 -3.842325141850653922e-05 -2.645638403616702535e-05
-6.885439425926188051e+01 -3.895006923088769008e-05 -2.712157215041622401e-05
-6.799039425926230251e+01 -3.946870647147327019e-05 -2.779401626404618946e-05
-6.712639425926272452e+01 -3.997872428694330331e-05 -2.847349033346129306e-05
-6.626239425926314652e+01 -4.047969278496540475e-05 -2.915978188993210613e-05
-6.539839425926356853e+01 -4.097119062215599051e-05 -2.985268403936312798e-05
-6.453439425926399053e+01 -4.145279509238991908e-05 -3.055194376403084599e-05
-6.367039425926441254e+01 -4.192408532861341105e-05 -3.125725872392264590e-05
-6.280639425926483455e+01 -4.238465584035030234e-05 -3.196833258503106506e-05
-6.194239425926525655e+01 -4.283410486822730539e-05 -3.268488766811824408e-05
-6.107839425926567856e+01 -4.327201348513121278e-05 -3.340661519907028024e-05
-6.021439425926610056e+01 -4.369795963759880137e-05 -3.413316245665254801e-05
-5.935039425926652257e+01 -4.411154862972315897e-05 -3.486417449795741489e-05
-5.848639425926694457e+01 -4.451239630940573993e-05 -3.559929523715625832e-05
-5.762239425926736658e+01 -4.490009574474362929e-05 -3.633813204710058617e-05
-5.675839425926778858e+01 -4.527423887548227496e-05 -3.708027001174929156e-05
-5.589439425926821059e+01 -4.563445017800114964e-05 -3.782530287659222599e-05
-5.503039425926863260e+01 -4.598035577807601669e-05 -3.857280304898047226e-05
-5.416639425926905460e+01 -4.631155239120816463e-05 -3.932229419413306497e-05
-5.330239425926947661e+01 -4.662764151989708594e-05 -4.007328564758420690e-05
-5.243839425926989861e+01 -4.692825647233536213e-05 -4.082529108779942272e-05
-5.157439425927032062e+01 -4.721302970069587215e-05 -4.157779176639837425e-05
-5.071039425927074262e+01 -4.748156947553445226e-05 -4.233021945931641128e-05
-4.984639425927116463e+01 -4.773348031456359962e-05 -4.308197833040726968e-05
-4.898239425927158663e+01 -4.796838541098384732e-05 -4.383245918053218972e-05
-4.811839425927200864e+01 -4.818592240248685028e-05 -4.458103967402485393e-05
-4.725439425927243065e+01 -4.838571275076692713e-05 -4.532707086993499666e-05
-4.639039425927285265e+01 -4.856732754868038301e-05 -4.606981972770387662e-05
-4.552639425927327466e+01 -4.873032288404671849e-05 -4.680841785599735151e-05
-4.466239425927369666e+01 -4.887433904058845744e-05 -4.754194952848528945e-05
-4.379839425927411867e+01 -4.899909651949727231e-05 -4.826970797703478692e-05
-4.293439425927454067e+01 -4.910420364124355996e-05 -4.899130488802481937e-05
-4.207039425927496268e+01 -4.918897253957471517e-05 -4.970606933877200992e-05
-4.120639425927538468e+01 -4.925256502612604783e-05 -5.041184432915357222e-05
-4.034239425927580669e+01 -4.929449849912323245e-05 -5.110460720930259113e-05
-3.947839425927622869e+01 -4.931491984430767269e-05 -5.178004927464302293e-05
-3.861439425927665070e+01 -4.931400292915330102e-05 -5.243589646077504021e-05
-3.775039425927707271e+01 -4.929094814855994035e-05 -5.307266962377551935e-05
-3.688639425927749471e+01 -4.924395005133631696e-05 -5.369249408399130415e-05
-3.602239425927791672e+01 -4.917150324109916329e-05 -5.429736773279822420e-05
-3.515839425927833872e+01 -4.907351852414930669e-05 -5.488782446151091460e-05
-3.429439425927876073e+01 -4.895048865438007948e-05 -5.546231998544010056e-05
-3.343039425927918273e+01 -4.880128724740652734e-05 -5.601777441029615935e-05
-3.256639425927960474e+01 -4.862260518081979393e-05 -5.655060998559981747e-05
-3.170239425928002674e+01 -4.841165825889721388e-05 -5.705680663876696158e-05
-3.083839425928044875e+01 -4.816885927448569547e-05 -5.753095533238574262e-05
-2.997439425928087076e+01 -4.789562845794930406e-05 -5.796555473316306940e-05
-2.911039425928129276e+01 -4.758935452887460876e-05 -5.835199200719119907e-05
-2.824639425928171477e+01 -4.724333991239449754e-05 -5.868377786684945166e-05
-2.738239425928213677e+01 -4.685230222368400412e-05 -5.895760689532939967e-05
-2.651839425928255878e+01 -4.641477263738729694e-05 -5.916760801238627902e-05
-2.565439425928298078e+01 -4.592963939459336289e-05 -5.930157481804716513e-05
-2.479039425928340279e+01 -4.539291638159508594e-05 -5.935098297375038283e-05
-2.392639425928382479e+01 -4.479613090825446765e-05 -5.932228421575572657e-05
-2.306239425928424680e+01 -4.412495955219098646e-05 -5.922896656570904501e-05
-2.219839425928466881e+01 -4.336312820032618026e-05 -5.907237955961863187e-05
-2.133439425928509081e+01 -4.250061459647970285e-05 -5.883182139426667651e-05
-2.047039425928551282e+01 -4.152969797387829438e-05 -5.846143777552356311e-05
-1.960639425928593482e+01 -4.042696968904692969e-05 -5.789761322962867535e-05
-1.874239425928635683e+01 -3.914257600733546925e-05 -5.708682297205301519e-05
-1.787839425928677883e+01 -3.761188520948795521e-05 -5.601644945507405006e-05
-1.701439425928720084e+01 -3.577119409838766517e-05 -5.469619869957612675e-05
-1.615039425928762284e+01 -3.356485928778086240e-05 -5.311561548841079616e-05
-1.528639425928804485e+01 -3.092923764840319577e-05 -5.121117067367995658e-05
-1.442239425928846686e+01 -2.776549950409156454e-05 -4.889853031570786317e-05
-1.355839425928888886e+01 -2.388145642860259945e-05 -4.608520823667063357e-05
-1.269439425928931087e+01 -1.896727204668849728e-05 -4.275041571245099685e-05
-1.183039425928973287e+01 -1.260307454168355681e-05 -3.896359271974661497e-05
-1.096639425929015488e+01 -4.315262098499509249e-06 -3.531777135316573535e-05
-1.010239425929057688e+01 7.568272476813005650e-06 -3.347026413349198445e-05
-9.238394259290998889e+00 3.011802245284748866e-05 -3.283284200832932561e-05
-8.374394259291420894e+00 6.520799501130386078e-05 -2.027880435807796140e-05
-7.510394259291842900e+00 9.516001295271592989e-05 1.225987645141764902e-06
-6.646394259292264906e+00 1.172776627369347981e-04 1.310370640312563536e-05
-5.782394259292686911e+00 1.363116368495822552e-04 1.581658166539361471e-05
-4.918394259293108917e+00 1.515910821615532966e-04 1.602285998608451848e-05
-4.054394259293530922e+00 1.619215434246618339e-04 1.623094982009460065e-05
-3.190394259293952928e+00 1.676263760001035677e-04 1.684590972808975380e-05
-2.326394259294374933e+00 1.702261090189359613e-04 1.772874833622029229e-05
-1.462394259294796939e+00 1.714691531373235627e-04 1.872410777924033497e-05
-5.983942592952189443e-01 1.728556690854357624e-04 1.970794742827278390e-05
2.656057407043590501e-01 1.755550955416638906e-04 2.069435551190005858e-05
1.129605740703937045e+00 1.803639048030708807e-04 2.175416386568675199e-05
1.993605740703515039e+00 1.874995339836250734e-04 2.289756335957159617e-05
2.857605740703093034e+00 1.966018044591954898e-04 2.402369279127986970e-05
3.721605740702671028e+00 2.071116878360737459e-04 2.499234094193071785e-05
4.585605740702249022e+00 2.186936862844121403e-04 2.568901544290136664e-05
5.449605740701827017e+00 2.312839053132751527e-04 2.606396415559244229e-05
