# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -1.974373706256329648e-03 3.478600054386291138e-04
-1.068703942592433123e+02 -2.209489345404570208e-03 2.086951926612036479e-04
-1.060063942592437343e+02 -2.442712780685484236e-03 4.098238208090183111e-05
-1.051423942592441563e+02 -2.670139744797097019e-03 -1.534804853147787352e-04
-1.042783942592445783e+02 -2.888382856940774953e-03 -3.720265297026480828e-04
-1.034143942592450003e+02 -3.094832465487972872e-03 -6.113441654698726063e-04
-1.025503942592454223e+02 -3.287670454910667211e-03 -8.677050693550531412e-04
-1.016863942592458443e+02 -3.465903316704371274e-03 -1.137201933035742862e-03
-1.008223942592462663e+02 -3.629283679784822258e-03 -1.415943483520858788e-03
-9.995839425924668831e+01 -3.778227934963947730e-03 -1.700228337969587888e-03
-9.909439425924711031e+01 -3.913684007939803068e-03 -1.986664193139340423e-03
-9.823039425924753232e+01 -4.037007768561373840e-03 -2.272258891139422761e-03
-9.736639425924795432e+01 -4.149827556958018797e-03 -2.554464379029972552e-03
-9.650239425924837633e+01 -4.253928930623203201e-03 -2.831199809260562597e-03
-9.563839425924879833e+01 -4.351147034164350690e-03 -3.100841975101267106e-03
-9.477439425924922034e+01 -4.443282963644859876e-03 -3.362205722733168072e-03
-9.391039425924964235e+01 -4.532034940900796401e-03 -3.614505629426180509e-03
-9.304639425925006435e+01 -4.618951178166412659e-03 -3.857316690542564926e-03
-9.218239425925048636e+01 -4.705396869512254443e-03 -4.090525822287542981e-03
-9.131839425925090836e+01 -4.792537188785120708e-03 -4.314287348997891333e-03
-9.045439425925133037e+01 -4.881331194211789050e-03 -4.528975107698789311e-03
-8.959039425925175237e+01 -4.972536130795296959e-03 -4.735141001166635367e-03
-8.872639425925217438e+01 -5.066718385467016382e-03 -4.933472960673719772e-03
-8.786239425925259638e+01 -5.164269568421717659e-03 -5.124759640578328661e-03
-8.699839425925301839e+01 -5.265425988942230850e-03 -5.309856005846372816e-03
-8.613439425925344040e+01 -5.370289480773069238e-03 -5.489655387974915618e-03
-8.527039425925386240e+01 -5.478848962608599306e-03 -5.665062963426567046e-03
-8.440639425925428441e+01 -5.591000940195700424e-03 -5.836975136452187546e-03
-8.354239425925470641e+01 -5.706569304145522013e-03 -6.006260724630824339e-03
