# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 4.643744985832592307e-08 9.167603557454662478e-09
-1.068703942592433123e+02 -5.856250846113889950e-09 -7.696126349817577155e-10
-1.060063942592437343e+02 -4.214471864167835294e-08 -2.376267391928986698e-09
-1.051423942592441563e+02 -5.389826230576062461e-08 1.612520962389382199e-09
-1.042783942592445783e+02 -3.130462963277772242e-08 4.089562581131078090e-09
-1.034143942592450003e+02 3.560847035777142522e-08 -8.915730003258408551e-09
-1.025503942592454223e+02 1.531263083230935144e-07 -6.067704772810214274e-08
-1.016863942592458443e+02 3.177079170754742009e-07 -1.842638172342043578e-07
-1.008223942592462663e+02 5.082992938854367279e-07 -4.181762344278347009e-07
-9.995839425924668831e+01 6.817029011689211449e-07 -7.956735744294778103e-07
-9.909439425924711031e+01 7.759783832119542206e-07 -1.330712456085367261e-06
-9.823039425924753232e+01 7.233201321880757219e-07 -2.007887851938578100e-06
-9.736639425924795432e+01 4.671759185696145635e-07 -2.782266123446518987e-06
-9.650239425924837633e+01 -2.415790497446991394e-08 -3.589218071683590626e-06
-9.563839425924879833e+01 -7.525517546721082645e-07 -4.359015762943883864e-06
-9.477439425924922034e+01 -1.693285098688434601e-06 -5.030269279493068873e-06
-9.391039425924964235e+01 -2.802814658191746341e-06 -5.558827028063401514e-06
-9.304639425925006435e+01 -4.027878208741068012e-06 -5.921653648465038010e-06
-9.218239425925048636e+01 -5.314177336621369640e-06 -6.115983996302214096e-06
-9.131839425925090836e+01 -6.613024484862079984e-06 -6.154964890246317025e-06
-9.045439425925133037e+01 -7.884711320864858395e-06 -6.062190077395735974e-06
-8.959039425925175237e+01 -9.099077243844437194e-06 -5.867420536139231774e-06
-8.872639425925217438e+01 -1.023483688046393751e-05 -5.603795229704431546e-06
-8.786239425925259638e+01 -1.127872430131709024e-05 -5.305453123718487820e-06
-8.699839425925301839e+01 -1.222436421103303354e-05 -5.004858830680229378e-06
-8.613439425925344040e+01 -1.307060749171963159e-05 -4.730328520731646266e-06
-8.527039425925386240e+01 -1.381956852484490389e-05 -4.504582135924754284e-06
-8.440639425925428441e+01 -1.447500176867539693e-05 -4.344571981395369342e-06
-8.354239425925470641e+01 -1.504136039249390406e-05 -4.262177724276033336e-06
-8.267839425925512842e+01 -1.552344876997236892e-05 -4.265139272307069125e-06
-8.181439425925555042e+01 -1.592630820747633502e-05 -4.357761973326967460e-06
-8.095039425925597243e+01 -1.625512419037889678e-05 -4.541256498833904357e-06
-8.008639425925639443e+01 -1.651514154908816206e-05 -4.813829284516341441e-06
-7.922239425925681644e+01 -1.671171462529332796e-05 -5.170730219743012146e-06
-7.835839425925723845e+01 -1.685051649416156028e-05 -5.604523890774920298e-06
-7.749439425925766045e+01 -1.693782774292147095e-05 -6.105771096880598559e-06
-7.663039425925808246e+01 -1.698073922398684292e-05 -6.664011306603312128e-06
-7.576639425925850446e+01 -1.698719908093184955e-05 -7.268646742351884275e-06
-7.490239425925892647e+01 -1.696591098225247414e-05 -7.909450496309381571e-06
-7.403839425925934847e+01 -1.692613733323400157e-05 -8.576738959892270389e-06
-7.317439425925977048e+01 -1.687740381538772885e-05 -9.261428404743003831e-06
-7.231039425926019248e+01 -1.682910905813822305e-05 -9.955142827120095947e-06
-7.144639425926061449e+01 -1.679004735199856344e-05 -1.065046038813362010e-05
-7.058239425926103650e+01 -1.676791226006865796e-05 -1.134124524045695367e-05
-6.971839425926145850e+01 -1.676887734749822284e-05 -1.202291436520768234e-05
-6.885439425926188051e+01 -1.679737364317530755e-05 -1.269248840329442907e-05
-6.799039425926230251e+01 -1.685610844028176083e-05 -1.334842118907838407e-05
-6.712639425926272452e+01 -1.694628473538342393e-05 -1.399029686007500620e-05
-6.626239425926314652e+01 -1.706791151141670763e-05 -1.461850428806004890e-05
-6.539839425926356853e+01 -1.722011995585654868e-05 -1.523393568710371021e-05
-6.453439425926399053e+01 -1.740145007062807969e-05 -1.583773889707116428e-05
-6.367039425926441254e+01 -1.761010886437018827e-05 -1.643113621525430203e-05
-6.280639425926483455e+01 -1.784417133200694562e-05 -1.701531892884126170e-05
-6.194239425926525655e+01 -1.810169062822585047e-05 -1.759139239060563233e-05
-6.107839425926567856e+01 -1.838074638641683123e-05 -1.816034724151615917e-05
-6.021439425926610056e+01 -1.867950287200938246e-05 -1.872303466102080184e-05
-5.935039425926652257e+01 -1.899626833912163325e-05 -1.928015789887791410e-05
-5.848639425926694457e+01 -1.932949248697769310e-05 -1.983228754539026521e-05
-5.762239425926736658e+01 -1.967772704880930816e-05 -2.037988929932036029e-05
-5.675839425926778858e+01 -2.003962856175510034e-05 -2.092332989653134979e-05
-5.589439425926821059e+01 -2.041398200937059214e-05 -2.146287284485252268e-05
-5.503039425926863260e+01 -2.079967684797759340e-05 -2.199869162877802060e-05
-5.416639425926905460e+01 -2.119566896984303132e-05 -2.253089390263146713e-05
-5.330239425926947661e+01 -2.160098763247721791e-05 -2.305952178810596201e-05
-5.243839425926989861e+01 -2.201474621746026642e-05 -2.358454821685261371e-05
-5.157439425927032062e+01 -2.243610743282042178e-05 -2.410589284166591323e-05
-5.071039425927074262e+01 -2.286425310845957925e-05 -2.462343436515755538e-05
-4.984639425927116463e+01 -2.329840007510738763e-05 -2.513699856534710376e-05
-4.898239425927158663e+01 -2.373781920567237652e-05 -2.564636047166146335e-05
-4.811839425927200864e+01 -2.418182084239481252e-05 -2.615126928484790009e-05
-4.725439425927243065e+01 -2.462971799742084389e-05 -2.665144514648386882e-05
-4.639039425927285265e+01 -2.508078435149949464e-05 -2.714652729594994624e-05
-4.552639425927327466e+01 -2.553425244770117432e-05 -2.763606096489647240e-05
-4.466239425927369666e+01 -2.598940147694108621e-05 -2.811959587145468649e-05
-4.379839425927411867e+01 -2.644568098533999211e-05 -2.859681041510101263e-05
-4.293439425927454067e+01 -2.690264310613203213e-05 -2.906742178414093016e-05
-4.207039425927496268e+01 -2.735953135813688983e-05 -2.953080801625040548e-05
-4.120639425927538468e+01 -2.781487126902643689e-05 -2.998569553682675054e-05
-4.034239425927580669e+01 -2.826669908056406717e-05 -3.043038096028404871e-05
-3.947839425927622869e+01 -2.871341113632884696e-05 -3.086339131606985166e-05
-3.861439425927665070e+01 -2.915437084174196054e-05 -3.128396083722998210e-05
-3.775039425927707271e+01 -2.958966066897558274e-05 -3.169196965575323222e-05
-3.688639425927749471e+01 -3.001940786482957543e-05 -3.208759717011963467e-05
-3.602239425927791672e+01 -3.044338372231218142e-05 -3.247095454502095329e-05
-3.515839425927833872e+01 -3.086087206089225464e-05 -3.284154661282870298e-05
-3.429439425927876073e+01 -3.127042836215462992e-05 -3.319746350880116567e-05
-3.343039425927918273e+01 -3.166955803899157364e-05 -3.353515305970486741e-05
-3.256639425927960474e+01 -3.205505170784811735e-05 -3.385097178945249349e-05
-3.170239425928002674e+01 -3.242454888893555768e-05 -3.414331282261597744e-05
-3.083839425928044875e+01 -3.277753094292759151e-05 -3.441202738344529210e-05
-2.997439425928087076e+01 -3.311311177349827989e-05 -3.465532041932355356e-05
-2.911039425928129276e+01 -3.342728625512538112e-05 -3.486854908772157196e-05
-2.824639425928171477e+01 -3.371514742565245393e-05 -3.504615939355866435e-05
-2.738239425928213677e+01 -3.397492055977011929e-05 -3.518322985169262273e-05
-2.651839425928255878e+01 -3.420568808101890197e-05 -3.527573802238140468e-05
-2.565439425928298078e+01 -3.440290147304748242e-05 -3.532125894850322043e-05
-2.479039425928340279e+01 -3.456234036864583737e-05 -3.531851682784614786e-05
-2.392639425928382479e+01 -3.468704121303835492e-05 -3.526482189675698542e-05
-2.306239425928424680e+01 -3.478345636390792206e-05 -3.515484688185288955e-05
-2.219839425928466881e+01 -3.485154006320313812e-05 -3.498103929430023822e-05
-2.133439425928509081e+01 -3.488272913661714101e-05 -3.473117569418200510e-05
-2.047039425928551282e+01 -3.486384103422783770e-05 -3.438410262370924852e-05
-1.960639425928593482e+01 -3.477948147584211962e-05 -3.391026435582979409e-05
-1.874239425928635683e+01 -3.461758513024324629e-05 -3.327722096818656525e-05
-1.787839425928677883e+01 -3.437877278695085419e-05 -3.245307733300549388e-05
-1.701439425928720084e+01 -3.407800127988342716e-05 -3.140308726987259340e-05
-1.615039425928762284e+01 -3.373537398436168925e-05 -3.008105078029212350e-05
-1.528639425928804485e+01 -3.337417644369554696e-05 -2.842322421064639581e-05
-1.442239425928846686e+01 -3.304061964569778497e-05 -2.634424830912236230e-05
-1.355839425928888886e+01 -3.284670901479395532e-05 -2.372000429613558057e-05
-1.269439425928931087e+01 -3.302375177435056772e-05 -2.035481781060926353e-05
-1.183039425928973287e+01 -3.398570898764119994e-05 -1.597190093667040744e-05
-1.096639425929015488e+01 -3.634715596173440183e-05 -1.021681372526446558e-05
-1.010239425929057688e+01 -4.068022269577223360e-05 -2.618200616019286825e-06
-9.238394259290998889e+00 -4.673163878137443845e-05 7.094447629336499169e-06
-8.374394259291420894e+00 -5.305192113378415485e-05 1.802589975032940160e-05
-7.510394259291842900e+00 -5.767607763460438078e-05 2.803955862154146385e-05
-6.646394259292264906e+00 -5.881579745361488682e-05 3.480360184985783199e-05
-5.782394259292686911e+00 -5.533627387968709758e-05 3.667329971517140893e-05
-4.918394259293108917e+00 -4.734338339482379996e-05 3.327921216684028726e-05
-4.054394259293530922e+00 -3.619449684470137340e-05 2.562444355381999285e-05
-3.190394259293952928e+00 -2.400230484209037093e-05 1.575155363611046246e-05
-2.326394259294374933e+00 -1.211982704265545361e-05 6.122516084702159546e-06
-1.462394259294796939e+00 -1.030946131897064111e-06 2.135072869390679334e-07
-5.983942592952189443e-01 6.741673258073709180e-06 2.478457780489857173e-06
2.656057407043590501e-01 3.017534468587571936e-06 7.235561978395579371e-06
1.129605740703937045e+00 -6.376507549269853709e-07 3.645506184645515827e-06
1.993605740703515039e+00 7.185441267796056959e-07 -1.359935363537791331e-06
2.857605740703093034e+00 5.194614414906368641e-06 -5.841909447517417690e-06
3.721605740702671028e+00 1.207365723029918324e-05 -9.785466240333842036e-06
4.585605740702249022e+00 1.960614593383673966e-05 -1.314295460218504330e-05
5.449605740701827017e+00 2.693592813020764682e-05 -1.651376319514049712e-05
6.313605740701405011e+00 3.119418426586850041e-05 -1.912153724344023130e-05
7.177605740700983006e+00 3.351937444412418063e-05 -1.984836482064151084e-05
8.041605740700561000e+00 2.816943923305583508e-05 -1.754772453705984468e-05
8.905605740700138995e+00 2.101888536167533195e-05 -1.221736937190617287e-05
9.769605740699716989e+00 -1.819523609224145980e-06 1.115772307923278402e-06
1.063360574069929498e+01 7.405923090114292919e-06 -4.613778296233454799e-06
1.149760574069887298e+01 3.810791636214533697e-05 -1.071206914544812584e-05
1.236160574069845097e+01 5.548551115917727683e-05 -2.030982848272106105e-05
1.322560574069802897e+01 7.216952472891216964e-05 -1.968858061478769239e-05
1.408960574069760696e+01 7.608917450351162593e-05 -2.487229214362906326e-05
1.495360574069718496e+01 7.319378794548285646e-05 -2.614508622838838345e-05
1.581760574069676295e+01 6.183453317209254031e-05 -3.011973860708538238e-05
1.668160574069634094e+01 4.809160588378225007e-05 -3.362646278933709821e-05
1.754560574069591894e+01 3.326326522024207282e-05 -3.914839386921118390e-05
1.840960574069549693e+01 1.928741837770567611e-05 -4.597693008560448249e-05
1.927360574069507493e+01 6.860397954752623063e-06 -5.230880013847612734e-05
2.013760574069465292e+01 2.299063598232626081e-08 -5.712096192372059718e-05
2.100160574069423092e+01 -7.845977263889284996e-07 -6.119737927040042210e-05
2.186560574069380891e+01 1.632552399024937349e-06 -6.488081230807147680e-05
2.272960574069338691e+01 4.187142432302258498e-06 -6.815658914689443971e-05
2.359360574069296490e+01 5.559567080876267556e-06 -7.113127891406158590e-05
2.445760574069254289e+01 5.636359184803998703e-06 -7.383930829794629034e-05
2.532160574069212089e+01 5.040157718682448281e-06 -7.632930631925077434e-05
2.618560574069169888e+01 4.418414493620175365e-06 -7.869880976829778303e-05
2.704960574069127688e+01 4.177399178853248687e-06 -8.105623202092153673e-05
2.791360574069085487e+01 4.404139394714515775e-06 -8.345516859094677864e-05
2.877760574069043287e+01 5.002158754575792066e-06 -8.591113834326319398e-05
2.964160574069001086e+01 5.799675778029539157e-06 -8.842633975640422752e-05
3.050560574068958886e+01 6.674713063588521322e-06 -9.100507631105346452e-05
3.136960574068916685e+01 7.563627809169905776e-06 -9.364994606378773223e-05
3.223360574068874485e+01 8.421272297565847591e-06 -9.634366793232591267e-05
3.309760574068832284e+01 9.221471071121311550e-06 -9.904555228077572941e-05
3.396160574068790083e+01 9.960663466572188137e-06 -1.017215230111418524e-04
3.482560574068747883e+01 1.058876668497101571e-05 -1.043589633790741934e-04
3.568960574068705682e+01 1.097630775552237678e-05 -1.069433874175199355e-04
3.655360574068663482e+01 1.099927009008301389e-05 -1.094487560596367991e-04
3.741760574068621281e+01 1.063929961601851637e-05 -1.118655327838275545e-04
3.828160574068579081e+01 9.979658831921451340e-06 -1.142121062395290388e-04
3.914560574068536880e+01 9.137118949385840622e-06 -1.165045643716278899e-04
4.000960574068494680e+01 8.226605786837201182e-06 -1.187360291247542673e-04
4.087360574068452479e+01 7.362051383693104751e-06 -1.208940826634326157e-04
4.173760574068410278e+01 6.637191539968721586e-06 -1.229817302561939281e-04
4.260160574068368078e+01 6.081668581031189444e-06 -1.250131177083639068e-04
4.346560574068325877e+01 5.644425416215843041e-06 -1.269930979832213582e-04
4.432960574068283677e+01 5.230084813798883340e-06 -1.289032564038682528e-04
4.519360574068241476e+01 4.750274919323490606e-06 -1.307096574220961032e-04
4.605760574068199276e+01 4.150623849180645153e-06 -1.323872002048292280e-04
4.692160574068157075e+01 3.425212933379254822e-06 -1.339368729281597149e-04
4.778560574068114875e+01 2.629797171592817831e-06 -1.353789576756739689e-04
4.864960574068072674e+01 1.854351838172386427e-06 -1.367295844887782166e-04
4.951360574068030473e+01 1.139704117995904361e-06 -1.379834892573486886e-04
5.037760574067988273e+01 4.217952540793540907e-07 -1.391219313260411876e-04
5.124160574067946072e+01 -4.144553682020365743e-07 -1.401375871556296757e-04
5.210560574067903872e+01 -1.425170657401890766e-06 -1.410423792700964173e-04
5.296960574067861671e+01 -2.561891377815105673e-06 -1.418454810925233846e-04
5.383360574067819471e+01 -3.718522741257583425e-06 -1.425343623797603826e-04
5.469760574067777270e+01 -4.807317953341621857e-06 -1.430888215442338021e-04
5.556160574067735070e+01 -5.805137716215040205e-06 -1.435056127071066381e-04
5.642560574067692869e+01 -6.743551260127236123e-06 -1.437955184128312733e-04
5.728960574067650668e+01 -7.660618482639344593e-06 -1.439624993004343871e-04
5.815360574067608468e+01 -8.581533693177729593e-06 -1.439994944831862105e-04
5.901760574067566267e+01 -9.546642177229959495e-06 -1.439010906347201778e-04
5.988160574067524067e+01 -1.060438582829064104e-05 -1.436696111747036973e-04
6.074560574067481866e+01 -1.174191172359260843e-05 -1.433091978336849194e-04
6.160960574067439666e+01 -1.287300571631568941e-05 -1.428184671581836515e-04
6.247360574067397465e+01 -1.394290682856630563e-05 -1.421885119392046119e-04
6.333760574067355265e+01 -1.500250951861823320e-05 -1.414097370255279571e-04
6.420160574067313064e+01 -1.612894634407871164e-05 -1.404825661254964584e-04
6.506560574067270863e+01 -1.731391914691212080e-05 -1.394160336648707040e-04
6.592960574067228663e+01 -1.848495776200238856e-05 -1.382120919746407102e-04
6.679360574067186462e+01 -1.960277543759804370e-05 -1.368601354239954370e-04
6.765760574067144262e+01 -2.068427659366942327e-05 -1.353542041677951568e-04
6.852160574067102061e+01 -2.175501469585974746e-05 -1.337021603668120081e-04
6.938560574067059861e+01 -2.282609285998162427e-05 -1.319064836528173880e-04
