# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -4.892343592747749138e-06 6.188075646600536250e-06
-1.068703942592433123e+02 -5.031378862086898374e-06 6.687872581987227399e-06
-1.060063942592437343e+02 -5.121683747861162344e-06 7.160719304923774599e-06
-1.051423942592441563e+02 -5.163708138689047627e-06 7.600452773135851387e-06
-1.042783942592445783e+02 -5.162250773406059704e-06 8.007605484988561338e-06
-1.034143942592450003e+02 -5.120252742818369155e-06 8.379726305831879129e-06
-1.025503942592454223e+02 -5.042124253497118730e-06 8.716847151634695936e-06
-1.016863942592458443e+02 -4.931587221075544805e-06 9.017999280589306048e-06
-1.008223942592462663e+02 -4.793048151742873694e-06 9.283738280207214430e-06
-9.995839425924668831e+01 -4.630512796264482022e-06 9.514269904606593114e-06
-9.909439425924711031e+01 -4.448230872982431377e-06 9.710755013889409607e-06
-9.823039425924753232e+01 -4.250055771106368644e-06 9.874217104278078000e-06
-9.736639425924795432e+01 -4.039875510933312947e-06 1.000671271280460486e-05
-9.650239425924837633e+01 -3.821259716979318459e-06 1.011060780240563090e-05
-9.563839425924879833e+01 -3.597612313024959690e-06 1.018869905002829017e-05
-9.477439425924922034e+01 -3.371806642108009205e-06 1.024328856919010741e-05
-9.391039425924964235e+01 -3.146370354213287439e-06 1.027707489918726537e-05
-9.304639425925006435e+01 -2.923474324841499361e-06 1.029333326555794151e-05
-9.218239425925048636e+01 -2.705078539804377553e-06 1.029588845309150445e-05
-9.131839425925090836e+01 -2.492731064964684450e-06 1.028806065199452712e-05
-9.045439425925133037e+01 -2.287597730212847039e-06 1.027293775569253349e-05
-8.959039425925175237e+01 -2.090476099766630409e-06 1.025360798772477119e-05
-8.872639425925217438e+01 -1.901926030034641249e-06 1.023334127362448947e-05
-8.786239425925259638e+01 -1.722248669283674136e-06 1.021511551694929925e-05
-8.699839425925301839e+01 -1.551532074326165471e-06 1.020171745621704530e-05
-8.613439425925344040e+01 -1.389646336052322657e-06 1.019571007043260594e-05
-8.527039425925386240e+01 -1.236299401227399941e-06 1.019961631858229517e-05
-8.440639425925428441e+01 -1.091064807896757114e-06 1.021589961594409262e-05
-8.354239425925470641e+01 -9.534467281991657623e-07 1.024697266896213102e-05
-8.267839425925512842e+01 -8.228870307603725348e-07 1.029478409304963178e-05
-8.181439425925555042e+01 -6.987570368272993954e-07 1.036081171434180819e-05
-8.095039425925597243e+01 -5.803536127913483184e-07 1.044638735137954108e-05
-8.008639425925639443e+01 -4.669575777280362985e-07 1.055305092704399679e-05
-7.922239425925681644e+01 -3.578789025973526879e-07 1.068231899126414061e-05
-7.835839425925723845e+01 -2.524566482326694577e-07 1.083541578004800698e-05
-7.749439425925766045e+01 -1.500372811813082451e-07 1.101324239752981934e-05
-7.663039425925808246e+01 -4.998631084237119020e-08 1.121662571753712086e-05
-7.576639425925850446e+01 4.829203868252298127e-08 1.144635132270132510e-05
-7.490239425925892647e+01 1.453541296687690241e-07 1.170309814243390200e-05
-7.403839425925934847e+01 2.417103734924116338e-07 1.198747128155395394e-05
-7.317439425925977048e+01 3.378108816322480483e-07 1.230014157762147202e-05
