# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -1.293925289617666413e-05 -2.686085620031266031e-06
-1.068703942592433123e+02 -1.359427169358346439e-05 -3.072671212896023216e-06
-1.060063942592437343e+02 -1.424379104272288440e-05 -3.435624142622699970e-06
-1.051423942592441563e+02 -1.489043017754145763e-05 -3.777054603293336382e-06
-1.042783942592445783e+02 -1.553617489825800772e-05 -4.099462386719518089e-06
-1.034143942592450003e+02 -1.618250194962655603e-05 -4.405803251170836658e-06
-1.025503942592454223e+02 -1.683046915763850262e-05 -4.699047135610896060e-06
-1.016863942592458443e+02 -1.748079339330682461e-05 -4.982140570370519858e-06
-1.008223942592462663e+02 -1.813394659232894923e-05 -5.257810785812570913e-06
-9.995839425924668831e+01 -1.879019199074924136e-05 -5.528561061427513608e-06
-9.909439425924711031e+01 -1.944963035920642172e-05 -5.796586374976608265e-06
-9.823039425924753232e+01 -2.011222717623567486e-05 -6.063805524859818482e-06
-9.736639425924795432e+01 -2.077787938131320504e-05 -6.331849850113608587e-06
-9.650239425924837633e+01 -2.144643194563638467e-05 -6.602108854277487995e-06
-9.563839425924879833e+01 -2.211768213646316144e-05 -6.875730650736889113e-06
-9.477439425924922034e+01 -2.279136637809166911e-05 -7.153661806864269593e-06
-9.391039425924964235e+01 -2.346719249568536734e-05 -7.436666750553236362e-06
-9.304639425925006435e+01 -2.414485361557450416e-05 -7.725368431201364418e-06
-9.218239425925048636e+01 -2.482403351118443291e-05 -8.020259561308926735e-06
-9.131839425925090836e+01 -2.550439193706893239e-05 -8.321727029291328500e-06
-9.045439425925133037e+01 -2.618557615134274770e-05 -8.630064204027877473e-06
-8.959039425925175237e+01 -2.686722329665963097e-05 -8.945494018510327455e-06
-8.872639425925217438e+01 -2.754896434453183869e-05 -9.268176469954729510e-06
-8.786239425925259638e+01 -2.823041729630774741e-05 -9.598222432846884627e-06
-8.699839425925301839e+01 -2.891119665461186377e-05 -9.935698933677282308e-06
-8.613439425925344040e+01 -2.959091359115179228e-05 -1.028063995455408424e-05
-8.527039425925386240e+01 -3.026917428693307532e-05 -1.063304853439204896e-05
-8.440639425925428441e+01 -3.094557234972147321e-05 -1.099290329133479274e-05
-8.354239425925470641e+01 -3.161969925014848263e-05 -1.136016227535080858e-05
-8.267839425925512842e+01 -3.229114821617012432e-05 -1.173476963303581269e-05
-8.181439425925555042e+01 -3.295950939726305308e-05 -1.211665390916860440e-05
-8.095039425925597243e+01 -3.362436227343324564e-05 -1.250572860684925660e-05
-8.008639425925639443e+01 -3.428528729690920502e-05 -1.290189513765322050e-05
-7.922239425925681644e+01 -3.494186689976473128e-05 -1.330504873920654260e-05
-7.835839425925723845e+01 -3.559367431168435341e-05 -1.371507593231364415e-05
-7.749439425925766045e+01 -3.624027281492833453e-05 -1.413185321163305290e-05
-7.663039425925808246e+01 -3.688123756133169850e-05 -1.455524930350816621e-05
-7.576639425925850446e+01 -3.751615482963775608e-05 -1.498512815707152798e-05
-7.490239425925892647e+01 -3.814459975998906800e-05 -1.542134663151755017e-05
-7.403839425925934847e+01 -3.876612907798076765e-05 -1.586375582414294814e-05
-7.317439425925977048e+01 -3.938030095529348155e-05 -1.631220186855277695e-05
-7.231039425926019248e+01 -3.998668670752056581e-05 -1.676652209090098364e-05
-7.144639425926061449e+01 -4.058486712508137028e-05 -1.722654258261134162e-05
-7.058239425926103650e+01 -4.117441810679308654e-05 -1.769208650291604913e-05
-6.971839425926145850e+01 -4.175489980208393052e-05 -1.816297902362411614e-05
-6.885439425926188051e+01 -4.232586766570117456e-05 -1.863904013207331924e-05
-6.799039425926230251e+01 -4.288690135447937213e-05 -1.912007642126313674e-05
-6.712639425926272452e+01 -4.343759811237669476e-05 -1.960588485818776910e-05
-6.626239425926314652e+01 -4.397753136555033137e-05 -2.009625861796253044e-05
-6.539839425926356853e+01 -4.450624744308459433e-05 -2.059098446476715716e-05
-6.453439425926399053e+01 -4.502331620168850939e-05 -2.108983810946265717e-05
-6.367039425926441254e+01 -4.552834668056582128e-05 -2.159259126328805803e-05
-6.280639425926483455e+01 -4.602093987376987272e-05 -2.209901995692413376e-05
-6.194239425926525655e+01 -4.650066203596449333e-05 -2.260889168767290890e-05
-6.107839425926567856e+01 -4.696707996280449792e-05 -2.312194571112035404e-05
-6.021439425926610056e+01 -4.741979221705962055e-05 -2.363790639511816183e-05
-5.935039425926652257e+01 -4.785841076173764740e-05 -2.415651054724776234e-05
-5.848639425926694457e+01 -4.828252929837538210e-05 -2.467749472928288475e-05
-5.762239425926736658e+01 -4.869172952711718795e-05 -2.520056498770011414e-05
-5.675839425926778858e+01 -4.908561332247830301e-05 -2.572541136121224298e-05
-5.589439425926821059e+01 -4.946380390393567250e-05 -2.625173335197034327e-05
-5.503039425926863260e+01 -4.982591025002663731e-05 -2.677921756648936287e-05
-5.416639425926905460e+01 -5.017152151325501646e-05 -2.730751488367052796e-05
-5.330239425926947661e+01 -5.050024266733802082e-05 -2.783626626175637257e-05
-5.243839425926989861e+01 -5.081170117120240379e-05 -2.836512017058828028e-05
-5.157439425927032062e+01 -5.110551745287016362e-05 -2.889370694685759673e-05
-5.071039425927074262e+01 -5.138129753417072397e-05 -2.942162164984316259e-05
-4.984639425927116463e+01 -5.163864740824494304e-05 -2.994843481235941209e-05
-4.898239425927158663e+01 -5.187717991707595276e-05 -3.047370457077175246e-05
-4.811839425927200864e+01 -5.209652092775120242e-05 -3.099698774814419453e-05
-4.725439425927243065e+01 -5.229628970537362500e-05 -3.151783087305321028e-05
-4.639039425927285265e+01 -5.247605796694290178e-05 -3.203571820111241993e-05
-4.552639425927327466e+01 -5.263538199559383455e-05 -3.255003469650203784e-05
-4.466239425927369666e+01 -5.277388516042258394e-05 -3.306012785860742818e-05
-4.379839425927411867e+01 -5.289123169435413791e-05 -3.356547043012470655e-05
-4.293439425927454067e+01 -5.298699908994822775e-05 -3.406575573533386403e-05
-4.207039425927496268e+01 -5.306059529647998786e-05 -3.456055811784358842e-05
-4.120639425927538468e+01 -5.311131139210200464e-05 -3.504851299831489623e-05
-4.034239425927580669e+01 -5.313857568902936407e-05 -3.552690256406368065e-05
-3.947839425927622869e+01 -5.314220205692547907e-05 -3.599258426423596773e-05
