# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -3.477724511795650493e-06 -4.032555498931222384e-06
-1.068703942592433123e+02 -2.313185396363847771e-06 -2.611650149183999936e-06
-1.060063942592437343e+02 -9.853384025465156972e-07 -1.162449870329646100e-06
-1.051423942592441563e+02 1.006182424388144357e-06 1.104217707919125951e-06
-1.042783942592445783e+02 2.519561734315712771e-06 3.118436898463014772e-06
-1.034143942592450003e+02 6.066156552682382008e-06 6.138784249818130837e-06
-1.025503942592454223e+02 6.142093611258967446e-06 8.902868752894393172e-06
-1.016863942592458443e+02 1.598210034429847347e-05 1.115494890241880894e-05
-1.008223942592462663e+02 7.276502155297924997e-07 -8.839865450232360497e-07
-9.995839425924668831e+01 4.338907800694531187e-05 -5.631581663329143958e-06
-9.909439425924711031e+01 7.621335420759277812e-05 -3.766740717906535735e-05
-9.823039425924753232e+01 -2.316637637903189227e-05 -1.269182819333582310e-04
-9.736639425924795432e+01 -4.626549388943384481e-05 -1.815109032649331886e-04
-9.650239425924837633e+01 -4.190883412644113524e-05 -2.432525105663501384e-04
-9.563839425924879833e+01 -8.348961548642524003e-05 -2.952575480202697844e-04
-9.477439425924922034e+01 -3.295721341912046654e-05 -3.671401965016049302e-04
-9.391039425924964235e+01 -3.411532280488514140e-04 -2.560246537834074982e-04
-9.304639425925006435e+01 -4.539201238029490302e-04 -1.548978153140018633e-04
-9.218239425925048636e+01 -4.821595861495204301e-04 -2.277617206837016708e-04
-9.131839425925090836e+01 -5.430582022382834289e-04 -2.232382944920372348e-04
-9.045439425925133037e+01 -5.904816813476655843e-04 -2.536268684837072193e-04
-8.959039425925175237e+01 -6.362776106794686701e-04 -2.853408223434516101e-04
-8.872639425925217438e+01 -7.084618501724844605e-04 -2.639051254631297281e-04
-8.786239425925259638e+01 -5.805747870991075045e-04 -5.459025652229509279e-04
-8.699839425925301839e+01 -5.149557334545772297e-04 -6.463877032903196478e-04
-8.613439425925344040e+01 -5.708808054747616057e-04 -6.392406116674016368e-04
-8.527039425925386240e+01 -5.706775106839511932e-04 -6.789582282841967898e-04
-8.440639425925428441e+01 -6.021862283885216337e-04 -6.924353028626314922e-04
-8.354239425925470641e+01 -6.155991881129972785e-04 -7.207167408140139090e-04
-8.267839425925512842e+01 -6.383428241595299774e-04 -7.422622887291767868e-04
-8.181439425925555042e+01 -6.590369212864753820e-04 -7.640440155140300208e-04
-8.095039425925597243e+01 -6.740770995379657916e-04 -7.940202427245659144e-04
-8.008639425925639443e+01 -7.123207463585597100e-04 -7.936694990852703920e-04
-7.922239425925681644e+01 -7.504303485386587189e-04 -7.625130369710614482e-04
-7.835839425925723845e+01 -7.404695984536877572e-04 -7.691120552253211335e-04
-7.749439425925766045e+01 -7.417631232498379541e-04 -7.644579146999698092e-04
-7.663039425925808246e+01 -7.398881997585344357e-04 -7.619936369287096242e-04
-7.576639425925850446e+01 -7.340142952746653510e-04 -7.626186816674300310e-04
-7.490239425925892647e+01 -7.382441169047188577e-04 -7.525557190246674093e-04
-7.403839425925934847e+01 -7.219592614703347405e-04 -7.616258221827854362e-04
-7.317439425925977048e+01 -7.402852618430084616e-04 -7.360042586081586057e-04
-7.231039425926019248e+01 -6.966918337161868416e-04 -7.694814961636957688e-04
-7.144639425926061449e+01 -7.694589442158083960e-04 -6.864187526908154370e-04
-7.058239425926103650e+01 -3.644089663598486803e-04 -9.562364629230285344e-04
-6.971839425926145850e+01 -1.505699037949468158e-04 -9.949676134991592737e-04
-6.885439425926188051e+01 -2.243432121858790864e-04 -9.594699957671076708e-04
-6.799039425926230251e+01 -1.795915365657275000e-04 -9.477263872596089012e-04
-6.712639425926272452e+01 -1.982936076410189024e-04 -9.212735499025388828e-04
-6.626239425926314652e+01 -1.801465665716220084e-04 -9.017599203111250749e-04
-6.539839425926356853e+01 -1.833368059681307572e-04 -8.767121314047201987e-04
-6.453439425926399053e+01 -1.736329948347972577e-04 -8.534944352615419757e-04
-6.367039425926441254e+01 -1.712487924060463352e-04 -8.277523261239029062e-04
-6.280639425926483455e+01 -1.642457212108964072e-04 -8.020529010961240796e-04
-6.194239425926525655e+01 -1.596597281086273019e-04 -7.748705905676674544e-04
-6.107839425926567856e+01 -1.533384166166943102e-04 -7.470954756702891022e-04
-6.021439425926610056e+01 -1.475600566552156786e-04 -7.182251706677215616e-04
-5.935039425926652257e+01 5.629423517406144774e-04 -4.880150183848235121e-04
-5.848639425926694457e+01 5.805575716146645559e-04 -5.034076566046918281e-04
-5.762239425926736658e+01 5.984718867193462204e-04 -5.188209026145859616e-04
-5.675839425926778858e+01 6.164699417797425392e-04 -5.344836028907096713e-04
