# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -2.215316178118621182e-05 1.571435628957971697e-05
-1.068703942592433123e+02 -2.180631500009832624e-05 1.546830147246490338e-05
-1.060063942592437343e+02 -2.146131831286542899e-05 1.522355551480521876e-05
-1.051423942592441563e+02 -2.113563751578307386e-05 1.499251229514277106e-05
-1.042783942592445783e+02 -2.082101262662580494e-05 1.476931070008320537e-05
-1.034143942592450003e+02 -2.052199786624242408e-05 1.455718341176686658e-05
-1.025503942592454223e+02 -2.023542764795880516e-05 1.435388410755791346e-05
-1.016863942592458443e+02 -1.996331240333239535e-05 1.416083866870464342e-05
-1.008223942592462663e+02 -1.970394138468979284e-05 1.397683201690703067e-05
-9.995839425924668831e+01 -1.945837410294045156e-05 1.380261643349483791e-05
-9.909439425924711031e+01 -1.922545238928896611e-05 1.363736987654681362e-05
-9.823039425924753232e+01 -1.900574410597316992e-05 1.348149681482500087e-05
-9.736639425924795432e+01 -1.879850507141066779e-05 1.333446722062582698e-05
-9.650239425924837633e+01 -1.860427555108413393e-05 1.319666719091798042e-05
-9.563839425924879833e+01 -1.842244207991684018e-05 1.306765600030652757e-05
-9.477439425924922034e+01 -1.825295559726617688e-05 1.294740667640449294e-05
-9.391039425924964235e+01 -1.809508974284434281e-05 1.283539047696488629e-05
-9.304639425925006435e+01 -1.794912143630804816e-05 1.273182543650347316e-05
-9.218239425925048636e+01 -1.781488966419983973e-05 1.263656204207682548e-05
-9.131839425925090836e+01 -1.769239877930124655e-05 1.254966059679254003e-05
-9.045439425925133037e+01 -1.758110010319635850e-05 1.247063766396801764e-05
-8.959039425925175237e+01 -1.748087051339734387e-05 1.239955846337831756e-05
-8.872639425925217438e+01 -1.739150033774396355e-05 1.233602316702462240e-05
-8.786239425925259638e+01 -1.731272459645496017e-05 1.228025316447403004e-05
-8.699839425925301839e+01 -1.724441920000325832e-05 1.223148905671577907e-05
-8.613439425925344040e+01 -1.718595089794451410e-05 1.219037953822560584e-05
-8.527039425925386240e+01 -1.713782751276156003e-05 1.215548232485594941e-05
-8.440639425925428441e+01 -1.709865844354206170e-05 1.212876328073375290e-05
-8.354239425925470641e+01 -1.707045350272881295e-05 1.210679974541613214e-05
