# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -3.858854252033339303e-06 -3.301852047944317967e-06
-1.068703942592433123e+02 -3.285689618264344557e-06 -5.132026326407166353e-06
-1.060063942592437343e+02 -2.287715382526978402e-06 -6.918956690437865604e-06
-1.051423942592441563e+02 -9.661549907338191074e-07 -8.558326247877788605e-06
-1.042783942592445783e+02 6.075501971041647079e-07 -1.000163070971975312e-05
-1.034143942592450003e+02 2.376785091660518486e-06 -1.123338668041967926e-05
-1.025503942592454223e+02 4.289655596208892782e-06 -1.224593372954621914e-05
-1.016863942592458443e+02 6.300391980457047948e-06 -1.304338300033537389e-05
-1.008223942592462663e+02 8.367395626976430509e-06 -1.363415990338502282e-05
-9.995839425924668831e+01 1.045639966042801209e-05 -1.403108383534725400e-05
-9.909439425924711031e+01 1.253753671359648262e-05 -1.424681269086535066e-05
-9.823039425924753232e+01 1.458512300949923217e-05 -1.429484504485930248e-05
-9.736639425924795432e+01 1.657329456927179878e-05 -1.419092941728598144e-05
-9.650239425924837633e+01 1.847654459631836626e-05 -1.395699321665220468e-05
-9.563839425924879833e+01 2.027009283073364038e-05 -1.362199272735607969e-05
-9.477439425924922034e+01 2.193363296600126620e-05 -1.322059283443916980e-05
-9.391039425924964235e+01 2.345171806344187025e-05 -1.278979457842842794e-05
-9.304639425925006435e+01 2.481424948553002683e-05 -1.236452983738969834e-05
-9.218239425925048636e+01 2.601388783010961811e-05 -1.197259735644975637e-05
-9.131839425925090836e+01 2.704399867179490031e-05 -1.163156006989415809e-05
-9.045439425925133037e+01 2.789613004780138367e-05 -1.134958536151268901e-05
-8.959039425925175237e+01 2.856202745098342699e-05 -1.112785624312376209e-05
-8.872639425925217438e+01 2.903786812934649932e-05 -1.096348175348590079e-05
-8.786239425925259638e+01 2.932870109212601926e-05 -1.085312031347050796e-05
-8.699839425925301839e+01 2.944724635669750105e-05 -1.079703590846939299e-05
-8.613439425925344040e+01 2.940947104144850109e-05 -1.080034876098239772e-05
-8.527039425925386240e+01 2.922923355217454911e-05 -1.087187436049836644e-05
-8.440639425925428441e+01 2.891577381608244942e-05 -1.102179724989618855e-05
-8.354239425925470641e+01 2.847269236125456884e-05 -1.125947915573581353e-05
-8.267839425925512842e+01 2.789886568235473534e-05 -1.159050426798744618e-05
-8.181439425925555042e+01 2.718989985059884680e-05 -1.201318808984246312e-05
-8.095039425925597243e+01 2.634175792601791728e-05 -1.251375180231516721e-05
