# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -4.918150512040294874e-06 -6.215727497321358959e-06
-1.068703942592433123e+02 -5.055511119916473893e-06 -6.714387570373530571e-06
-1.060063942592437343e+02 -5.144230503033779699e-06 -7.186105668505248721e-06
-1.051423942592441563e+02 -5.184724301297386967e-06 -7.624683097907153670e-06
-1.042783942592445783e+02 -5.181804351873411558e-06 -8.030674194227241388e-06
-1.034143942592450003e+02 -5.138401670560420004e-06 -8.401620371701475044e-06
-1.025503942592454223e+02 -5.058928826501150564e-06 -8.737559944753871564e-06
-1.016863942592458443e+02 -4.947105016869190501e-06 -9.037522897262180227e-06
-1.008223942592462663e+02 -4.807340354594076053e-06 -9.302072686851844594e-06
-9.995839425924668831e+01 -4.643638958814393348e-06 -9.531415599739121231e-06
-9.909439425924711031e+01 -4.460250564523511381e-06 -9.726715203231629383e-06
-9.823039425924753232e+01 -4.261026828805511248e-06 -9.888994862075164744e-06
-9.736639425924795432e+01 -4.049856685315355734e-06 -1.002031508252579558e-05
-9.650239425924837633e+01 -3.830309791738589047e-06 -1.012304372249925678e-05
-9.563839425924879833e+01 -3.605791321797272327e-06 -1.019998157312470499e-05
-9.477439425924922034e+01 -3.379174757819748316e-06 -1.025343418176643878e-05
-9.391039425924964235e+01 -3.152988024737827846e-06 -1.028610534572853715e-05
-9.304639425925006435e+01 -2.929401092381112314e-06 -1.030127366695350407e-05
-9.218239425925048636e+01 -2.710373162207812941e-06 -1.030276769156698571e-05
-9.131839425925090836e+01 -2.497450746461796506e-06 -1.029391024112276728e-05
-9.045439425925133037e+01 -2.291798173140473067e-06 -1.027779283902271239e-05
-8.959039425925175237e+01 -2.094211048772189169e-06 -1.025750712020895629e-05
-8.872639425925217438e+01 -1.905247124962887401e-06 -1.023632720807121531e-05
-8.786239425925259638e+01 -1.725204556485552558e-06 -1.021723364132716535e-05
-8.699839425925301839e+01 -1.554168129100112507e-06 -1.020301508574482821e-05
-8.613439425925344040e+01 -1.392004569299197370e-06 -1.019623604503913132e-05
-8.527039425925386240e+01 -1.238418659744491457e-06 -1.019942171374058167e-05
-8.440639425925428441e+01 -1.092980463011645984e-06 -1.021503606478735777e-05
-8.354239425925470641e+01 -9.551905450604140796e-07 -1.024549074468602372e-05
-8.267839425925512842e+01 -8.244871506184315442e-07 -1.029273333736019976e-05
-8.181439425925555042e+01 -7.002382582944841955e-07 -1.035824281382710265e-05
