# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -2.095380880793542793e-06 -2.619199221405873500e-06
-1.068703942592433123e+02 -2.860299940762738085e-06 -3.236187439305160874e-06
-1.060063942592437343e+02 -3.300977540427954588e-06 -4.180189990099343116e-06
-1.051423942592441563e+02 -4.455058332114369739e-06 -4.721134346013471496e-06
-1.042783942592445783e+02 -2.442130875649361466e-06 -6.824144564915041116e-06
-1.034143942592450003e+02 -1.589077840325773357e-06 -7.505059454689829591e-06
-1.025503942592454223e+02 -2.084643289767646191e-06 -7.896082592993061475e-06
-1.016863942592458443e+02 -1.989338899341367752e-06 -8.463288751908666763e-06
-1.008223942592462663e+02 -2.241848391061008568e-06 -9.051801563380256114e-06
-9.995839425924668831e+01 -2.313121616060230807e-06 -9.684323042368394232e-06
-9.909439425924711031e+01 -2.446760747010329603e-06 -1.048564113788848554e-05
-9.823039425924753232e+01 -2.757017365412971573e-06 -1.097361868405340529e-05
-9.736639425924795432e+01 -2.921692694246443267e-06 -1.098196832087083575e-05
-9.650239425924837633e+01 3.732128177694503760e-06 -1.098841537481524441e-05
-9.563839425924879833e+01 7.798507842897050484e-06 -9.332493975947362165e-06
-9.477439425924922034e+01 8.449643199830380347e-06 -9.554378055145901498e-06
-9.391039425924964235e+01 8.878864808583957275e-06 -9.907355690941093619e-06
-9.304639425925006435e+01 9.290164271000496464e-06 -1.026226159139938460e-05
-9.218239425925048636e+01 9.652888447278176273e-06 -1.061792397574428939e-05
-9.131839425925090836e+01 9.991131985814646880e-06 -1.096971581225856226e-05
-9.045439425925133037e+01 1.032243746335413992e-05 -1.128985505642330950e-05
-8.959039425925175237e+01 1.059410602599416773e-05 -1.163326596629588096e-05
-8.872639425925217438e+01 1.091289056443616037e-05 -1.189614487064885587e-05
-8.786239425925259638e+01 1.108451782623597279e-05 -1.226028790847840752e-05
-8.699839425925301839e+01 1.143515915529058352e-05 -1.242149472336416489e-05
-8.613439425925344040e+01 1.138797750834858392e-05 -1.291072553997212818e-05
-8.527039425925386240e+01 1.185980851019746804e-05 -1.288698511399250760e-05
-8.440639425925428441e+01 1.073544024024042778e-05 -1.419077037578353210e-05
-8.354239425925470641e+01 -3.101007854779304984e-06 -1.800189625473521838e-05
-8.267839425925512842e+01 -1.210433631733372147e-05 -1.462567741775818441e-05
-8.181439425925555042e+01 -1.538186229106802751e-05 -1.184489828275165640e-05
-8.095039425925597243e+01 -1.471362171619863901e-05 -1.318232197250695309e-05
-8.008639425925639443e+01 -1.559442378122227575e-05 -1.278024500378938297e-05
-7.922239425925681644e+01 -1.560655836982646600e-05 -1.340583950042872675e-05
-7.835839425925723845e+01 -1.615759373186538764e-05 -1.344930694740743219e-05
-7.749439425925766045e+01 -1.640181507823974938e-05 -1.388364906449074340e-05
-7.663039425925808246e+01 -1.686233701680587638e-05 -1.410562799852627197e-05
-7.576639425925850446e+01 -1.721622600802695928e-05 -1.448778665547178464e-05
-7.490239425925892647e+01 -1.766435736123892728e-05 -1.479715925023357924e-05
-7.403839425925934847e+01 -1.808186046588378538e-05 -1.517778453375397990e-05
