# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -6.817015646665713178e-06 -2.417340132714376598e-06
-1.068703942592433123e+02 -7.157691934123605672e-06 -2.648579676595633469e-06
-1.060063942592437343e+02 -7.496049149522253605e-06 -2.849329714045082885e-06
-1.051423942592441563e+02 -7.834268267878883801e-06 -3.022331130312778677e-06
-1.042783942592445783e+02 -8.173833288668621590e-06 -3.170962226987638076e-06
-1.034143942592450003e+02 -8.515640081921372226e-06 -3.299021538270696143e-06
-1.025503942592454223e+02 -8.860198201160870225e-06 -3.410363420342198629e-06
-1.016863942592458443e+02 -9.207732331682769988e-06 -3.508708480396942319e-06
-1.008223942592462663e+02 -9.558292838366971194e-06 -3.597469018108794100e-06
-9.995839425924668831e+01 -9.911819338744165208e-06 -3.679678766572049580e-06
-9.909439425924711031e+01 -1.026820561718602172e-05 -3.757946085249958831e-06
-9.823039425924753232e+01 -1.062731939101189533e-05 -3.834459666463650905e-06
-9.736639425924795432e+01 -1.098901364278719630e-05 -3.911004715704804858e-06
-9.650239425924837633e+01 -1.135312578297942623e-05 -3.989005987642780333e-06
-9.563839425924879833e+01 -1.171949103187932900e-05 -4.069572182900621399e-06
-9.477439425924922034e+01 -1.208794522791474791e-05 -4.153550252713587870e-06
-9.391039425924964235e+01 -1.245832426317116951e-05 -4.241571213878133293e-06
-9.304639425925006435e+01 -1.283045642951684134e-05 -4.334091171868577217e-06
-9.218239425925048636e+01 -1.320416418693075033e-05 -4.431422370909149347e-06
-9.131839425925090836e+01 -1.357926622699860170e-05 -4.533766019822669087e-06
-9.045439425925133037e+01 -1.395557967209382309e-05 -4.641239509371302597e-06
-8.959039425925175237e+01 -1.433291522265712220e-05 -4.753896831250999967e-06
-8.872639425925217438e+01 -1.471107616557265896e-05 -4.871741174911237989e-06
-8.786239425925259638e+01 -1.508986120426177767e-05 -4.994738836962872819e-06
-8.699839425925301839e+01 -1.546906741804570507e-05 -5.122830490230710346e-06
-8.613439425925344040e+01 -1.584848633896341629e-05 -5.255938560761684270e-06
