# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -1.487015334297789265e-05 -1.934119350895532289e-05
-1.068703942592433123e+02 -1.483426186652545176e-05 -1.942288086030935721e-05
-1.060063942592437343e+02 -1.479403886127257222e-05 -1.949338841340794102e-05
-1.051423942592441563e+02 -1.474706137076817255e-05 -1.954955319002218359e-05
-1.042783942592445783e+02 -1.469444580809122165e-05 -1.959319579721838095e-05
-1.034143942592450003e+02 -1.463550176833859925e-05 -1.962355698572489817e-05
-1.025503942592454223e+02 -1.457063255368400930e-05 -1.964142305955832643e-05
-1.016863942592458443e+02 -1.449950813482944676e-05 -1.964650796018451589e-05
-1.008223942592462663e+02 -1.442235852387044639e-05 -1.963931411504109276e-05
-9.995839425924668831e+01 -1.433902227017016887e-05 -1.961976130830356179e-05
-9.909439425924711031e+01 -1.424963894565514022e-05 -1.958820768504657554e-05
-9.823039425924753232e+01 -1.415408153572253369e-05 -1.954461294289820366e-05
-9.736639425924795432e+01 -1.405244307403305344e-05 -1.948924282822084482e-05
-9.650239425924837633e+01 -1.394466753345804021e-05 -1.942211782001353621e-05
-9.563839425924879833e+01 -1.383085061649956776e-05 -1.934347564878364622e-05
-9.477439425924922034e+01 -1.371095018496946756e-05 -1.925334847835322275e-05
-9.391039425924964235e+01 -1.358503140160576857e-05 -1.915192692400961066e-05
-9.304639425925006435e+01 -1.345307799703407668e-05 -1.903926232261005038e-05
-9.218239425925048636e+01 -1.331516932453245689e-05 -1.891553573149805422e-05
-9.131839425925090836e+01 -1.317130497027726737e-05 -1.878080389138749181e-05
-9.045439425925133037e+01 -1.302154577407391548e-05 -1.863522083386360978e-05
-8.959039425925175237e+01 -1.286590103946540393e-05 -1.847885265117275543e-05
-8.872639425925217438e+01 -1.270444952014148661e-05 -1.831185896118939875e-05
-8.786239425925259638e+01 -1.253722059653251666e-05 -1.813431930635157511e-05
-8.699839425925301839e+01 -1.236428060623115835e-05 -1.794636847652604581e-05
-8.613439425925344040e+01 -1.218565825118042514e-05 -1.774807022726440647e-05
-8.527039425925386240e+01 -1.200143102461997632e-05 -1.753955519170664014e-05
-8.440639425925428441e+01 -1.181163661336200945e-05 -1.732089789415360755e-05
-8.354239425925470641e+01 -1.161634241135489226e-05 -1.709221990385599403e-05
-8.267839425925512842e+01 -1.141559771167467474e-05 -1.685359751458578254e-05
-8.181439425925555042e+01 -1.120948811899078406e-05 -1.660515627578863315e-05
-8.095039425925597243e+01 -1.099806603057642499e-05 -1.634697685919527874e-05
-8.008639425925639443e+01 -1.078140747327223313e-05 -1.607917503889079111e-05
-7.922239425925681644e+01 -1.055956998065294343e-05 -1.580182776819874610e-05
-7.835839425925723845e+01 -1.033262588205897091e-05 -1.551503941172085514e-05
-7.749439425925766045e+01 -1.010062459558876739e-05 -1.521888027837111978e-05
-7.663039425925808246e+01 -9.863654906338331012e-06 -1.491346568953252026e-05
-7.576639425925850446e+01 -9.621799391370028831e-06 -1.459888545729290587e-05
-7.490239425925892647e+01 -9.375136370182576086e-06 -1.427523194504891814e-05
-7.403839425925934847e+01 -9.123705833538401963e-06 -1.394255016027801122e-05
-7.317439425925977048e+01 -8.867573803584645400e-06 -1.360092134018843306e-05
-7.231039425926019248e+01 -8.606815528206692890e-06 -1.325042023060935394e-05
-7.144639425926061449e+01 -8.341522227228527733e-06 -1.289112706979667510e-05
-7.058239425926103650e+01 -8.071752495926026919e-06 -1.252306267930516674e-05
-6.971839425926145850e+01 -7.797563877853157669e-06 -1.214625954423258917e-05
-6.885439425926188051e+01 -7.519012866737432186e-06 -1.176076396399743969e-05
-6.799039425926230251e+01 -7.236183644832291000e-06 -1.136665194381287359e-05
-6.712639425926272452e+01 -6.949138791374376588e-06 -1.096391668191174713e-05
-6.626239425926314652e+01 -6.657920686772100281e-06 -1.055248760124412040e-05
-6.539839425926356853e+01 -6.362556958515836932e-06 -1.013228100178724552e-05
-6.453439425926399053e+01 -6.063109844699853505e-06 -9.703283833459646696e-06
-6.367039425926441254e+01 -5.759648799771684681e-06 -9.265464460615044061e-06
