# 1:time 2:Re(h) 3:Im(h)
-1.077343942592428903e+02 -6.813022143168413227e-06 2.386960416315184938e-06
-1.068703942592433123e+02 -7.156355767182029872e-06 2.617151704294248069e-06
-1.060063942592437343e+02 -7.497157626419469567e-06 2.817210027244356675e-06
-1.051423942592441563e+02 -7.837582540304939395e-06 2.989928789634584472e-06
-1.042783942592445783e+02 -8.179113056951102059e-06 3.138643540447663983e-06
-1.034143942592450003e+02 -8.522642557501549854e-06 3.267139598723604884e-06
-1.025503942592454223e+02 -8.868691379704726820e-06 3.379221838570421630e-06
-1.016863942592458443e+02 -9.217492666888840505e-06 3.478570647315717943e-06
-1.008223942592462663e+02 -9.569116285664117972e-06 3.568544179320644821e-06
-9.995839425924668831e+01 -9.923519428961473563e-06 3.652128591253194451e-06
-9.909439425924711031e+01 -1.028061873277070348e-05 3.731880608702426812e-06
-9.823039425924753232e+01 -1.064030053554595629e-05 3.809946707790167667e-06
-9.736639425924795432e+01 -1.100243787616333640e-05 3.888072649202958711e-06
-9.650239425924837633e+01 -1.136688249063067551e-05 3.967652471816046152e-06
-9.563839425924879833e+01 -1.173348450159980433e-05 4.049768754069814691e-06
-9.477439425924922034e+01 -1.210209159769831561e-05 4.135250766344751251e-06
-9.391039425924964235e+01 -1.247255278317199782e-05 4.224716087550329152e-06
-9.304639425925006435e+01 -1.284470594794064925e-05 4.318612397560967484e-06
-9.218239425925048636e+01 -1.321838304170129430e-05 4.417245958063856001e-06
-9.131839425925090836e+01 -1.359340908572263343e-05 4.520815401212929946e-06
-9.045439425925133037e+01 -1.396960756722453580e-05 4.629437120443298997e-06
-8.959039425925175237e+01 -1.434679358071074409e-05 4.743166314812526682e-06
-8.872639425925217438e+01 -1.472477608784380766e-05 4.862008581847399600e-06
-8.786239425925259638e+01 -1.510335816117026829e-05 4.985933638383820520e-06
-8.699839425925301839e+01 -1.548234129691546798e-05 5.114885468985656826e-06
-8.613439425925344040e+01 -1.586151960758585983e-05 5.248790195076085315e-06
-8.527039425925386240e+01 -1.624068197383813988e-05 5.387558922843461595e-06
-8.440639425925428441e+01 -1.661961533384043849e-05 5.531091827397988140e-06
-8.354239425925470641e+01 -1.699810721325160494e-05 5.679283421641900929e-06
-8.267839425925512842e+01 -1.737593829522069406e-05 5.832028484200003760e-06
